trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-184.36090560368802,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,15,-67.91219337043225,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-150.48657479760044,"{0: 7, 1: 4, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-73.40097173273271,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-64.34845477371475,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-167.6285924359137,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-111.40993708600233,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,6,-67.480401709195,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,11,-37.699877194039736,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-84.62549163600733,"{0: 8, 1: 5, 2: 7, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-178.4576006233114,"{0: 6, 1: 2, 2: 9, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-229.3113766273066,"{0: 10, 1: 1, 2: 11, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-143.08764275086273,"{0: 12, 1: 1, 2: 11, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-156.90609114511003,"{0: 12, 1: 1, 2: 10, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-152.73976023512904,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,0,-228.18672664469634,"{0: 19, 1: 1, 2: 12, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-117.83566457761788,"{0: 14, 1: 0, 2: 10, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-140.03696453840035,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,13,-24.306999852144074,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-250.10264844417216,"{0: 8, 1: 0, 2: 14, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",20,0,-166.9070297546893,"{0: 8, 1: 0, 2: 10, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,13,-24.920624054241515,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-206.44391142182238,"{0: 8, 1: 0, 2: 9, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",30,0,-146.44144274722424,"{0: 17, 1: 0, 2: 12, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-274.4201137795307,"{0: 8, 1: 0, 2: 13, 3: 0, 4: 4}",0
6,True,"{'a': 0, 'e': 0}",20,0,-123.42286013744437,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-110.0223415252906,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-141.93328295446491,"{0: 8, 1: 0, 2: 11, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-286.18781038092726,"{0: 6, 1: 0, 2: 9, 3: 0, 4: 5}",0
10,True,"{'a': 0, 'e': 0}",20,0,-176.0492503789578,"{0: 8, 1: 0, 2: 10, 3: 0, 4: 2}",0
