trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999980000006666}",35,0,-259.54385778262423,"{0: 17, 1: 4, 2: 10, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.999995500003375}",20,0,-81.8644027089394,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9999920000106667}",25,0,-175.0763862033965,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9999875000260416}",30,0,-141.3717968754057,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.999982000054}",25,0,-163.60937490693573,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9999755001000415}",25,0,-144.20792657995455,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9999680001706663}",25,0,-148.72989464296083,"{0: 13, 1: 6, 2: 2, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9999595002733742}",25,0,-111.20053773744888,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9999500004166653}",25,0,-88.19974531978154,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9999395006100392}",20,0,-77.1418044446804,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9999280008639958}",20,0,-114.19878262242683,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9999155011900349}",20,0,-28.329158793327124,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9999020016006562}",20,0,-47.350991554416126,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9998875021093592}",30,0,-149.6862786509117,"{0: 17, 1: 3, 2: 6, 3: 3, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9998720027306434}",20,0,-98.09430982061826,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9998555034800082}",25,12,-143.2626944726751,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 3}",1
17,False,"{'a': 0.5, 'e': 0.9998380043739528}",25,0,-129.55116452352743,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9998195054299763}",20,0,-133.42316804981888,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9998000066665778}",30,0,-35.686982799713526,"{0: 24, 1: 0, 2: 6, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9997795081032559}",30,0,-146.0314208894853,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9997580097605092}",25,0,-63.80313468230075,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9997355116598361}",25,0,-70.23323868650729,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9997120138237345}",30,0,-102.15819339731411,"{0: 16, 1: 5, 2: 8, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9996875162757026}",25,0,-97.7923722868484,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9996620190402377}",20,3,-43.463660900150444,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.9996355221428369}",20,0,-71.26740292943836,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.9996080256099974}",20,0,-149.34337425950267,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9995795294692156}",20,0,-36.34728398171257,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9995500337489875}",20,0,-86.41811877856158,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.999519538478809}",30,0,-84.6499499081442,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9994880436891754}",25,14,-20.227516049113493,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.9994555494115813}",20,0,-115.7169566384156,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9994220556785212}",30,0,-193.98811631526337,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.9993875625234886}",25,0,-233.95375386586917,"{0: 11, 1: 1, 2: 8, 3: 2, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.9993520699809768}",25,0,-52.84290289679384,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.9993155780864782}",25,3,-88.79721156963515,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.9992780868764849}",20,0,-48.496776236822974,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.999239596388488}",20,0,-75.74197011807829,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.9992001066609779}",20,4,-39.81409451695938,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.9991596177334445}",20,0,-100.79971666351702,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.9991181296463766}",30,0,-128.9535063093483,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.9990756424412622}",25,0,-140.51564980650738,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9990321561605888}",30,0,-201.9861238716441,"{0: 16, 1: 3, 2: 6, 3: 3, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.9989876708478425}",25,0,-104.10868099720774,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9989421865475084}",20,2,-108.83551497107929,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 2}",1
46,False,"{'a': 0.5, 'e': 0.9988957033050712}",20,0,-56.00155629078873,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.9988482211670138}",20,0,-53.00828085045911,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.9987997401808185}",30,6,-27.70671586906653,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.9987502603949663}",20,14,-12.813584961849731,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.9986997818589368}",20,0,-56.27480830067031,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9986483046232089}",25,0,-93.70448766732858,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.9985958287392593}",25,11,-84.73202149582137,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 2}",1
53,False,"{'a': 0.5, 'e': 0.9985423542595644}",30,0,-54.04939776095113,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.9984878812375985}",25,0,-144.30991746294538,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.9984324097278344}",25,0,-153.04512518508716,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.9983759397857438}",20,0,-101.86581100475638,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.9983184714677966}",20,0,-122.25391841941435,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.9982600048314613}",20,0,-84.96108075442169,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.9982005399352042}",30,0,-203.40250683978812,"{0: 16, 1: 3, 2: 6, 3: 3, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.9981400768384904}",20,0,-106.1199532941668,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9980786156017829}",25,0,-173.5127045606139,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
