trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9992001066609779}",20,0,-153.06283465110664,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9982005399352042}",30,0,-67.71273021302989,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9968017063026194}",25,0,-148.13498544378535,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9950041652780258}",25,0,-51.467928065063525,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9928086358538663}",20,0,-146.2751763511302,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9902159962126371}",20,0,-172.85099558916002,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9872272833756269}",30,0,-107.10629844802499,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9838436927881214}",25,0,-90.45964908395658,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9800665778412416}",20,0,-110.13281211608985,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9758974493306055}",25,0,-50.245139546594615,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9713379748520296}",20,0,-63.86246190745884,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9663899781345132}",35,0,-221.9485150993752,"{0: 20, 1: 5, 2: 4, 3: 3, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9610554383107709}",25,0,-62.63638696011044,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.955336489125606}",20,0,-138.7874780282712,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9492354180824408}",30,0,-121.70948653350762,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9427546655283462}",20,0,-17.116845588886832,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9358968236779348}",30,0,-131.15221533072733,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9286646355765102}",30,0,-269.19277796988274,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 5}",0
19,False,"{'a': 0.5, 'e': 0.9210609940028851}",25,0,-356.0144580832305,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 8}",0
20,False,"{'a': 0.5, 'e': 0.9130889403123083}",20,0,-105.98177434447065,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-146.7506674377858,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-78.51417989837337,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-177.81812568802522,"{0: 13, 1: 0, 2: 9, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-162.3840721594675,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",25,0,-240.97449750869853,"{0: 12, 1: 0, 2: 9, 3: 0, 4: 4}",0
6,True,"{'a': 0, 'e': 0}",20,0,-74.29310666525446,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",35,0,-227.41270402640217,"{0: 18, 1: 2, 2: 10, 3: 3, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",35,5,-39.97710003357039,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-112.43979889175279,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",25,6,-115.94714104279252,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 2}",1
